Top-200 PPR Rankings For 2017,,,,,,,,,,,Top-200 PPR Rankings For 2017,,,,,
PLAYER/POSITION/TEAM,POSRANK,BYE,MB,MC,TC,EK,FY,AVG,,,PLAYER/POSITION/TEAM,,,,,
"183. Wil Lutz, K, NO",K1,5,154,NR,192,NR,156,180.8,,,183,Wil Lutz,,,,
"184. Taylor Gabriel, WR, ATL",WR,5,NR,165,139,NR,NR,181.4,,,184,Taylor Gabriel,,,,
"185. Devontae Booker, RB, DEN",RB,5,193,NR,NR,136,177,181.6,,,185,Devontae Booker,,,,
"186. Carson Palmer, QB, ARI",QB,8,198,174,171,NR,165,181.8,,,186,Carson Palmer,,,,
"187. Devin Funchess, WR, CAR",WR,11,NR,121,195,191,NR,181.8,,,187,Devin Funchess,,,,
"188. Mohamed Sanu, WR, ATL",WR,5,161,163,186,NR,NR,182.4,,,188,Mohamed Sanu,,,,
"189. Cameron Brate, TE, TB",TE,1,NR,NR,185,NR,125,182.6,,,189,Cameron Brate,,,,
"190. Chris Boswell, K, PIT",K1,9,NR,158,159,NR,NR,184,,,190,Chris Boswell,,,,
"191. Breshad Perriman, WR, BAL",WR,10,184,183,164,190,NR,184.4,,,191,Breshad Perriman,,,,
"192. Julius Thomas, TE, MIA",TE,1,166,178,196,NR,184,185,,,192,Julius Thomas,,,,
"193. J.J. Nelson, WR, ARI",WR,8,NR,186,179,168,195,185.8,,,193,J,J, Nelson,,
"194. Curtis Samuel, WR, CAR",WR,11,169,196,NR,171,192,185.8,,,194,Curtis Samuel,,,,
"195. John Ross, WR, CIN",WR,6,170,NR,183,174,NR,185.8,,,195,John Ross,,,,
"196. Will Fuller V, WR, HOU",WR,7,NR,NR,129,NR,NR,186.6,,,196,Will Fuller V,,,,
"197. Paul Richardson, WR, SEA",WR,6,NR,198,NR,NR,136,187.4,,,197,Paul Richardson,,,,
"198. De'Angelo Henderson, RB, DEN",RB,5,NR,NR,NR,134,NR,187.6,,,198,De'Angelo Henderson,,,,
"199. Chargers D/ST, D/ST, LAC",D/,9,NR,189,NR,148,NR,188,,,199,Chargers D/ST,,,,
"200. Nelson Agholor, WR, PHI",WR,10,167,NR,NR,173,NR,188.6,,,200,Nelson Agholor,,,,
